v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701606,0.0,0.95380235,0.0,0.93325514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5751545,0.0,0.0,0.0,0.0,0.6486141,0.9033663,0.0,0.0,0.8609898,0.0,0.0,0.19719647,0.0,0.0,0.0,0.0,0.0,0.0,0.80833787,0.92626154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889891,0.94661,0.0,0.0,0.0,0.4452838,0.13628349,0.0,0.0,0.93505055,0.0,0.0,0.2688266,0.0,0.75782806,0.0,0.30955878,0.0,0.5279859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41213217,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.48388463,0.0,0.95565975,0.0,0.0,0.0,0.0,0.0,0.0,0.08910928,0.0,0.0,0.49193734,0.0,0.0,0.0,0.0,0.0,0.0,0.748313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8348812,0.0,0.0,0.0,0.69593024,0.0,0.0,0.0,0.33947793,0.0,0.0,0.0,0.0,0.92327446,0.0,0.0,0.0,0.0,0.0,0.0,0.8605738,0.61191994,0.0,0.7288191,0.0,0.0,0.0,0.6498263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8942573,0.39073843,0.0,0.0,0.0,0.62630063,0.11764607,0.0,0.0,0.0,0.0,0.0,0.297865,0.0,0.0,0.0,0.7053575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09213081,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61440206,0.7343658,0.22665705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209277,0.0,0.0,0.0,0.8136007,0.0,0.0,0.0,0.0,0.15117587,0.0,0.0,0.0,0.0,0.0,0.9000874,0.48255405,0.0,0.0,0.9734464,0.0,0.0,0.0,0.6054186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509748,0.0,0.0,0.0,0.7943793,0.31081787,0.0,0.0,0.31227255,0.0,0.0,0.9134691,0.0,0.0,0.0,0.8761411,0.0,0.0,0.0,0.0,0.0,0.0,0.7921923,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.036413617,0.0,0.36117885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32132494,0.0,0.8535556,0.0,0.0,0.0,0.0,0.8221188,0.558584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74169827,0.0,0.0,0.0,0.0,0.13446271,0.8671945,0.54826844,0.0,0.6053057,0.0,0.0,0.34620672,0.0,0.0,0.058673926,0.0,0.0,0.0,0.0,0.94731665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7331784,0.0,0.0,0.0,0.0,0.8443948,0.0,0.0,0.0,0.0,0.0,0.16778894,0.0,0.0,0.99958676,0.0,0.06071475,0.0,0.98410386,0.0,0.0,0.0,0.0,0.76260364,0.78809404,0.0,0.9651985,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8167079,0.0,0.0,0.0,0.0,0.0,0.0,0.86782914,0.0,0.0,0.0,0.0,0.97077584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4808147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148328,0.0,0.0,0.0,0.0,0.0,0.63923264,0.6622036,0.7889325,0.0,0.52525544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97331417,0.0,0.0,0.0,0.4119173,0.0,0.995094,0.9295326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47250608,0.0,0.0,0.0,0.0,0.0,0.0,0.6044842,0.0,0.0,0.0,0.92862386,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9314836,0.9166551,1.0,0.0,0.0,0.0,0.0,0.0,0.01937624,0.0,0.0,0.12367117,0.70341766,0.0,0.0,0.0,0.0,0.0,0.6745196,0.35650852,0.0,0.0,0.0,0.6967636,0.0,0.0,0.0,0.0,0.875155,0.0,0.0,0.0,0.68615824,0.0,0.0,0.0,0.0,0.32433367,0.0,0.0,0.0,0.0,0.3498321,0.0,0.84634453,0.0,0.0,0.0,0.0,0.54040605,0.0,0.0,0.0,0.044691328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009112477,0.0,0.0,0.0,0.0,0.26058826,0.0,0.0,0.0,0.0,0.0,0.6910398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77561873,0.0,0.39821687,0.0,0.0,0.7200536,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94822973,0.0,0.0,0.0,0.0,0.84873676,0.0,0.0,0.0,0.0,0.0,0.0,0.9155059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4429249,0.0,0.0,0.0,0.0,0.0,0.690405,0.6269774,0.55089885,0.0,0.51149845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94459397,0.0,0.0,0.0,0.42239577,0.0,1.0,0.8768778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53548694,0.0,0.0,0.0,0.0,0.0,0.0,0.5990282,0.0,0.0,0.0,0.885938,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49088898,0.70904076,0.22151424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20496744,0.0,0.0,0.0,0.8545245,0.0,0.0,0.0,0.0,0.11067316,0.0,0.0,0.0,0.0,0.0,0.9282711,0.46132815,0.0,0.0,0.99511516,0.0,0.0,0.0,0.63533944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122003876,0.0,0.0,0.0,0.80234474,0.29475003,0.0,0.0,0.19392872,0.0,0.062353905,0.9106008,0.0,0.0,0.0,0.9059453,0.0,0.0,0.0,0.0,0.0,0.0,0.8489866,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73065597,0.0,0.0,0.81973356,0.0,0.0,0.0,0.0,0.0,0.95859843,0.0,0.97444147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53962034,0.0,0.0,0.95084935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025247347,0.0,0.7397192,0.0,0.0,0.48476803,0.0,0.0,0.0,0.0,0.0,0.7968183,0.5350054,0.7925254,0.0,0.0,0.0,0.0,0.0,0.011425286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488507,0.0,0.0,0.4115714,0.0,0.46689892,0.45839968,0.0,0.0,0.0,0.7435324,0.0,0.0,0.0,0.753341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73834985,0.9293155,0.0,0.0,0.0,0.5806545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32329786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7613731,0.0,1.0,0.0,0.0,0.0,0.0,0.73401695,0.0,0.0,0.0,0.42828396,0.0,0.8402282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7456337,0.0,0.0,0.50514513,0.37415147,0.0,0.0,0.0,0.0,0.0,0.0,0.36701608,0.0,1.0,0.14141452,0.5541599,0.0,0.0,0.0,0.0,0.0,0.7230579,0.0,0.0,0.3835998,0.0,0.0,0.0,0.0,0.0,0.0,0.30287188,0.0,0.0,0.0,0.0,0.00074378436,0.0,0.0,0.0,0.32017934,0.11635615,0.42578906,0.43621066,0.0,0.6074907,0.0,0.54882556,0.0
